Island,collection_id,img0: id0,img0: id1,img1: id0,img1: id1
jamaica,NCAP_DOS_55_JA,1,19,1,39
jamaica,NCAP_DOS_55_JA,1,17,1,41
jamaica,NCAP_DOS_55_JA,1,16,1,42
jamaica,NCAP_DOS_55_JA,1,9,1,45
jamaica,NCAP_DOS_55_JA,3,66,3,67
jamaica,NCAP_DOS_55_JA,3,47,3,48
jamaica,NCAP_DOS_55_JA,7,96,7,95
jamaica,NCAP_DOS_55_JA,7,76,8,45
jamaica,NCAP_DOS_55_JA,8,18,7,81
jamaica,NCAP_DOS_55_JA,8,21,8,23
jamaica,NCAP_DOS_55_JA,27,156,27,157
jamaica,NCAP_DOS_55_JA,27,157,35,64
jamaica,NCAP_DOS_55_JA,27,156,35,63
jamaica,NCAP_DOS_55_JA,35,85,12,70
jamaica,NCAP_DOS_55_JA,27,185,33,42
jamaica,NCAP_DOS_55_JA,27,129,33,41
jamaica,NCAP_DOS_55_JA,33,35,33,37
jamaica,NCAP_DOS_55_JA,33,78,35,86
jamaica,NCAP_DOS_55_JA,35,85,35,86
jamaica,NCAP_DOS_55_JA,27,177,27,178
jamaica,NCAP_DOS_55_JA,26,40,9,49
jamaica,NCAP_DOS_55_JA,2,69,2,121
jamaica,NCAP_DOS_55_JA,11,38,11,39
jamaica,NCAP_DOS_55_JA,11,39,11,40
jamaica,NCAP_DOS_55_JA,11,40,11,41
jamaica,NCAP_DOS_55_JA,27,129,33,42
jamaica,NCAP_DOS_55_JA,33,41,33,42
jamaica,NCAP_DOS_55_JA,27,129,27,185
jamaica,NCAP_DOS_55_JA,13,29,13,30
jamaica,NCAP_DOS_55_JA,32,121,32,122
jamaica,NCAP_DOS_55_JA,32,74,32,73
jamaica,NCAP_DOS_55_JA,32,72,32,73
jamaica,NCAP_DOS_55_JA,7,7,7,8
jamaica,NCAP_DOS_55_JA,7,2,11,2
jamaica,NCAP_DOS_55_JA,11,2,11,1
jamaica,NCAP_DOS_55_JA,11,22,11,23
jamaica,NCAP_DOS_55_JA,11,23,11,24
jamaica,NCAP_DOS_55_JA,11,24,11,25
jamaica,NCAP_DOS_55_JA,11,25,11,26
jamaica,NCAP_DOS_55_JA,32,74,32,119
jamaica,NCAP_DOS_55_JA,32,75,32,118
jamaica,NCAP_DOS_55_JA,32,80,32,114
jamaica,NCAP_DOS_55_JA,7,40,7,39
jamaica,NCAP_DOS_55_JA,4,30,7,9
jamaica,NCAP_DOS_55_JA,4,30,12,1
jamaica,NCAP_DOS_55_JA,11,10,7,11
jamaica,NCAP_DOS_55_JA,32,123,32,124
jamaica,NCAP_DOS_55_JA,32,122,32,121
jamaica,NCAP_DOS_55_JA,19,8,19,45
