Island,collection_id,img0: id0,img0: id1,img1: id0,img1: id1
caymanislands,NCAP_DOS_116_CA,1,21,3,70
caymanislands,NCAP_DOS_116_CA,1,21,3,69
caymanislands,NCAP_DOS_116_CA,1,22,3,69
caymanislands,NCAP_DOS_116_CA,1,88,3,70
caymanislands,NCAP_DOS_116_CA,1,88,3,69
caymanislands,NCAP_DOS_116_CA,1,89,3,70
caymanislands,NCAP_DOS_116_CA,1,89,3,69
virginislands,NCAP_DOS_103_VI,1,36,2,55
virginislands,NCAP_DOS_103_VI,1,37,2,56
virginislands,NCAP_DOS_103_VI,2,56,2,57
virginislands,NCAP_DOS_103_VI,2,55,4,1
virginislands,NCAP_DOS_103_VI,2,56,4,2
virginislands,NCAP_DOS_103_VI,1,36,4,1
virginislands,NCAP_DOS_103_VI,1,37,4,2
virginislands,NCAP_DOS_103_VI,4,8,4,9
virginislands,NCAP_DOS_103_VI,4,9,4,10
virginislands,NCAP_DOS_103_VI,4,10,4,11
virginislands,NCAP_DOS_103_VI,4,11,4,12
virginislands,NCAP_DOS_103_VI,4,17,4,18
virginislands,NCAP_DOS_103_VI,2,62,4,11
virginislands,NCAP_DOS_103_VI,1,43,4,11
virginislands,NCAP_DOS_103_VI,1,43,1,42
virginislands,NCAP_DOS_103_VI,4,87,4,141
virginislands,NCAP_DOS_103_VI,4,86,4,87
virginislands,NCAP_DOS_103_VI,4,88,3,49
virginislands,NCAP_DOS_103_VI,4,88,4,167
virginislands,NCAP_DOS_103_VI,4,88,4,168
virginislands,NCAP_DOS_103_VI,1,71,4,95
virginislands,NCAP_DOS_103_VI,1,71,4,96
virginislands,NCAP_DOS_103_VI,1,71,4,97
virginislands,NCAP_DOS_103_VI,1,71,4,98
virginislands,NCAP_DOS_103_VI,4,19,4,20
virginislands,NCAP_DOS_103_VI,4,88,4,141
virginislands,NCAP_DOS_103_VI,4,89,4,141
virginislands,NCAP_DOS_103_VI,4,17,4,18
virginislands,NCAP_DOS_103_VI,4,18,4,83
virginislands,NCAP_DOS_103_VI,4,18,4,84
virginislands,NCAP_DOS_103_VI,4,201,4,202
virginislands,NCAP_DOS_103_VI,4,126,4,204
virginislands,NCAP_DOS_103_VI,4,127,4,203
virginislands,NCAP_DOS_103_VI,4,201,5,1
virginislands,NCAP_DOS_103_VI,4,201,5,1
virginislands,NCAP_DOS_103_VI,2,39,2,40
virginislands,NCAP_DOS_103_VI,2,40,2,41
virginislands,NCAP_DOS_103_VI,2,38,2,39
virginislands,NCAP_DOS_103_VI,2,39,1,69
virginislands,NCAP_DOS_103_VI,2,38,2,39
virginislands,NCAP_DOS_103_VI,2,38,1,69
virginislands,NCAP_DOS_103_VI,2,38,1,68
virginislands,NCAP_DOS_103_VI,2,26,1,55
virginislands,NCAP_DOS_103_VI,2,26,1,56
virginislands,NCAP_DOS_103_VI,2,42,1,23
virginislands,NCAP_DOS_103_VI,2,54,2,26
virginislands,NCAP_DOS_103_VI,1,28,1,29
virginislands,NCAP_DOS_103_VI,2,152,1,98
virginislands,NCAP_DOS_103_VI,1,98,1,99
virginislands,NCAP_DOS_103_VI,1,99,1,100
virginislands,NCAP_DOS_103_VI,2,152,2,153
virginislands,NCAP_DOS_103_VI,2,153,2,154
virginislands,NCAP_DOS_103_VI,3,51,3,52
virginislands,NCAP_DOS_103_VI,3,52,2,152
virginislands,NCAP_DOS_103_VI,3,53,3,54
virginislands,NCAP_DOS_103_VI,3,54,3,55
virginislands,NCAP_DOS_103_VI,3,149,3,148
virginislands,NCAP_DOS_103_VI,3,141,3,142
virginislands,NCAP_DOS_103_VI,3,64,3,65
virginislands,NCAP_DOS_103_VI,3,64,3,63
virginislands,NCAP_DOS_103_VI,3,52,3,162
virginislands,NCAP_DOS_103_VI,3,140,3,139
virginislands,NCAP_DOS_103_VI,3,79,3,80
virginislands,NCAP_DOS_103_VI,3,80,3,81
virginislands,NCAP_DOS_103_VI,3,81,3,82
virginislands,NCAP_DOS_103_VI,3,78,3,79
virginislands,NCAP_DOS_103_VI,3,83,3,84
virginislands,NCAP_DOS_103_VI,3,84,3,85
virginislands,NCAP_DOS_103_VI,1,112,2,167
virginislands,NCAP_DOS_103_VI,2,166,2,165
virginislands,NCAP_DOS_103_VI,2,166,2,167
virginislands,NCAP_DOS_103_VI,1,112,1,111
virginislands,NCAP_DOS_103_VI,1,111,1,110
virginislands,NCAP_DOS_103_VI,3,64,1,112
virginislands,NCAP_DOS_103_VI,3,64,2,167
virginislands,NCAP_DOS_103_VI,3,131,3,132
virginislands,NCAP_DOS_103_VI,3,133,3,132
virginislands,NCAP_DOS_103_VI,3,72,3,133
virginislands,NCAP_DOS_103_VI,3,117,2,13
virginislands,NCAP_DOS_103_VI,2,15,3,116
virginislands,NCAP_DOS_103_VI,2,13,2,12
stlucia,NCAP_DOS_3_WW,2,248,2,247
stlucia,NCAP_DOS_3_WW,2,242,2,253
stlucia,NCAP_DOS_3_WW,2,246,2,248
stlucia,NCAP_DOS_3_WW,2,257,2,256
stlucia,NCAP_DOS_3_WW,2,256,2,255
stlucia,NCAP_DOS_3_WW,2,272,2,273
stlucia,NCAP_DOS_3_WW,2,269,2,270
stlucia,NCAP_DOS_3_WW,2,264,2,265
stlucia,NCAP_DOS_3_WW,2,265,2,284
stlucia,NCAP_DOS_3_WW,2,275,2,274
stlucia,NCAP_DOS_3_WW,2,275,2,298
stlucia,NCAP_DOS_3_WW,2,295,2,296
stlucia,NCAP_DOS_3_WW,2,313,2,312
stlucia,NCAP_DOS_3_WW,2,304,2,303
stlucia,NCAP_DOS_3_WW,2,303,2,302
stlucia,NCAP_DOS_3_WW,2,302,2,325
stlucia,NCAP_DOS_3_WW,2,326,2,325
stlucia,NCAP_DOS_3_WW,2,325,2,324
stlucia,NCAP_DOS_3_WW,2,323,2,324
stlucia,NCAP_DOS_3_WW,2,322,2,321
stlucia,NCAP_DOS_3_WW,2,321,2,320
stlucia,NCAP_DOS_3_WW,2,319,2,318
stlucia,NCAP_DOS_3_WW,2,326,1,130
stlucia,NCAP_DOS_3_WW,1,129,1,128
stlucia,NCAP_DOS_3_WW,1,128,1,127
stlucia,NCAP_DOS_3_WW,1,96,1,95
stlucia,NCAP_DOS_3_WW,1,127,1,96
stlucia,NCAP_DOS_3_WW,1,122,1,121
stlucia,NCAP_DOS_3_WW,1,119,1,120
stlucia,NCAP_DOS_3_WW,1,118,1,117
stlucia,NCAP_DOS_3_WW,1,117,1,1
stlucia,NCAP_DOS_3_WW,1,116,1,115
stlucia,NCAP_DOS_3_WW,1,115,1,114
stlucia,NCAP_DOS_3_WW,1,114,1,113
stlucia,NCAP_DOS_3_WW,1,102,1,103
stlucia,NCAP_DOS_3_WW,1,103,1,104
stlucia,NCAP_DOS_3_WW,1,105,1,106
stlucia,NCAP_DOS_3_WW,1,106,1,107
stlucia,NCAP_DOS_3_WW,1,107,1,108
stlucia,NCAP_DOS_3_WW,1,108,1,109
stlucia,NCAP_DOS_3_WW,1,109,1,110
stlucia,NCAP_DOS_3_WW,1,59,1,96
stlucia,NCAP_DOS_3_WW,1,83,1,68
stlucia,NCAP_DOS_3_WW,1,35,1,34
stlucia,NCAP_DOS_3_WW,1,34,1,33
stlucia,NCAP_DOS_3_WW,1,33,1,32
stlucia,NCAP_DOS_3_WW,1,32,1,31
stlucia,NCAP_DOS_3_WW,1,31,1,30
stlucia,NCAP_DOS_3_WW,1,30,1,29
stlucia,NCAP_DOS_3_WW,1,29,1,28
stlucia,NCAP_DOS_3_WW,1,28,1,27
stlucia,NCAP_DOS_3_WW,1,18,1,160
stlucia,NCAP_DOS_3_WW,1,20,1,18
stlucia,NCAP_DOS_3_WW,1,160,1,161
stlucia,NCAP_DOS_3_WW,1,161,2,195
stlucia,NCAP_DOS_3_WW,2,195,2,196
stlucia,NCAP_DOS_3_WW,1,178,2,180
stlucia,NCAP_DOS_3_WW,2,224,2,210
stlucia,NCAP_DOS_3_WW,2,231,2,214
