island,collection_id,img1id0,img1id1,img2id0,img2id1
caymanislands,NCAP_DOS_116_CA,6,105,6,135
caymanislands,NCAP_DOS_116_CA,6,86,4,31
caymanislands,NCAP_DOS_116_CA,4,28,4,29
caymanislands,NCAP_DOS_116_CA,4,29,4,30
caymanislands,NCAP_DOS_116_CA,4,30,4,31
caymanislands,NCAP_DOS_116_CA,4,31,4,32
caymanislands,NCAP_DOS_116_CA,4,32,4,33
caymanislands,NCAP_DOS_116_CA,4,33,4,34
caymanislands,NCAP_DOS_116_CA,4,34,4,35
caymanislands,NCAP_DOS_116_CA,6,84,6,85
caymanislands,NCAP_DOS_116_CA,6,85,6,86
caymanislands,NCAP_DOS_116_CA,6,86,6,87
caymanislands,NCAP_DOS_116_CA,6,87,6,88
caymanislands,NCAP_DOS_116_CA,6,88,6,89
caymanislands,NCAP_DOS_116_CA,6,89,6,90
caymanislands,NCAP_DOS_116_CA,6,90,6,91
caymanislands,NCAP_DOS_116_CA,6,91,6,92
caymanislands,NCAP_DOS_116_CA,6,92,6,93
caymanislands,NCAP_DOS_116_CA,6,121,6,122
caymanislands,NCAP_DOS_116_CA,6,122,6,123
caymanislands,NCAP_DOS_116_CA,6,123,6,124
caymanislands,NCAP_DOS_116_CA,6,130,6,131
caymanislands,NCAP_DOS_116_CA,6,132,6,133
caymanislands,NCAP_DOS_116_CA,6,133,6,134
caymanislands,NCAP_DOS_116_CA,3,28,1,66
caymanislands,NCAP_DOS_116_CA,1,70,3,17
caymanislands,NCAP_DOS_116_CA,3,15,3,14
caymanislands,NCAP_DOS_116_CA,3,14,3,13
caymanislands,NCAP_DOS_116_CA,3,13,3,12
caymanislands,NCAP_DOS_116_CA,1,71,3,17
caymanislands,NCAP_DOS_116_CA,3,89,1,2
caymanislands,NCAP_DOS_116_CA,3,89,1,105
jamaica,NCAP_DOS_55_JA,35,51,35,50
jamaica,NCAP_DOS_55_JA,35,50,35,49
jamaica,NCAP_DOS_55_JA,35,49,35,48
jamaica,NCAP_DOS_55_JA,35,48,35,47
jamaica,NCAP_DOS_55_JA,35,47,35,46
jamaica,NCAP_DOS_55_JA,35,46,35,45
jamaica,NCAP_DOS_55_JA,35,45,35,44
jamaica,NCAP_DOS_55_JA,35,44,35,43
jamaica,NCAP_DOS_55_JA,35,43,35,42
jamaica,NCAP_DOS_55_JA,35,42,35,41
jamaica,NCAP_DOS_55_JA,35,41,35,40
jamaica,NCAP_DOS_55_JA,35,40,35,39
jamaica,NCAP_DOS_55_JA,35,39,35,38
jamaica,NCAP_DOS_55_JA,35,38,35,37
jamaica,NCAP_DOS_55_JA,35,37,35,36
jamaica,NCAP_DOS_55_JA,35,36,35,35
jamaica,NCAP_DOS_55_JA,35,35,35,34
jamaica,NCAP_DOS_55_JA,35,34,35,33
jamaica,NCAP_DOS_55_JA,33,41,33,42
jamaica,NCAP_DOS_55_JA,33,40,33,43
jamaica,NCAP_DOS_55_JA,16,42,16,41
jamaica,NCAP_DOS_55_JA,16,41,16,40
jamaica,NCAP_DOS_55_JA,16,40,16,39
jamaica,NCAP_DOS_55_JA,16,39,16,38
jamaica,NCAP_DOS_55_JA,16,38,16,37
jamaica,NCAP_DOS_55_JA,16,37,16,36
jamaica,NCAP_DOS_55_JA,16,36,16,35
jamaica,NCAP_DOS_55_JA,16,35,16,34
jamaica,NCAP_DOS_55_JA,16,34,16,33
jamaica,NCAP_DOS_55_JA,16,33,16,32
jamaica,NCAP_DOS_55_JA,16,32,16,31
jamaica,NCAP_DOS_55_JA,16,8,16,9
jamaica,NCAP_DOS_55_JA,16,9,16,10
jamaica,NCAP_DOS_55_JA,16,10,16,11
jamaica,NCAP_DOS_55_JA,16,11,16,12
jamaica,NCAP_DOS_55_JA,16,12,16,13
jamaica,NCAP_DOS_55_JA,16,13,16,14
jamaica,NCAP_DOS_55_JA,16,14,16,15
jamaica,NCAP_DOS_55_JA,16,15,16,16
jamaica,NCAP_DOS_55_JA,16,16,16,17
jamaica,NCAP_DOS_55_JA,16,17,16,18
jamaica,NCAP_DOS_55_JA,17,12,17,13
jamaica,NCAP_DOS_55_JA,17,13,17,14
jamaica,NCAP_DOS_55_JA,17,14,17,15
jamaica,NCAP_DOS_55_JA,17,15,17,16
jamaica,NCAP_DOS_55_JA,17,16,17,17
jamaica,NCAP_DOS_55_JA,17,17,17,18
jamaica,NCAP_DOS_55_JA,17,18,17,19
jamaica,NCAP_DOS_55_JA,17,19,17,20
jamaica,NCAP_DOS_55_JA,1,19,1,21
jamaica,NCAP_DOS_55_JA,1,21,1,74
jamaica,NCAP_DOS_55_JA,1,74,1,75
jamaica,NCAP_DOS_55_JA,1,75,5,12
jamaica,NCAP_DOS_55_JA,1,123,5,12
jamaica,NCAP_DOS_55_JA,5,12,5,11
jamaica,NCAP_DOS_55_JA,3,57,5,11
jamaica,NCAP_DOS_55_JA,3,57,3,56
jamaica,NCAP_DOS_55_JA,3,56,10,115
jamaica,NCAP_DOS_55_JA,10,115,3,1
jamaica,NCAP_DOS_55_JA,3,1,2,189
jamaica,NCAP_DOS_55_JA,2,189,2,129
jamaica,NCAP_DOS_55_JA,2,129,2,128
jamaica,NCAP_DOS_55_JA,2,128,2,51
jamaica,NCAP_DOS_55_JA,2,47,13,54
jamaica,NCAP_DOS_55_JA,13,54,13,55
jamaica,NCAP_DOS_55_JA,13,55,8,77
jamaica,NCAP_DOS_55_JA,8,77,8,78
jamaica,NCAP_DOS_55_JA,8,78,9,48
jamaica,NCAP_DOS_55_JA,9,48,26,40
jamaica,NCAP_DOS_55_JA,26,40,9,49
jamaica,NCAP_DOS_55_JA,9,49,15,1
jamaica,NCAP_DOS_55_JA,15,1,29,3
jamaica,NCAP_DOS_55_JA,29,13,11,28
jamaica,NCAP_DOS_55_JA,11,28,27,2
jamaica,NCAP_DOS_55_JA,27,2,15,10
jamaica,NCAP_DOS_55_JA,15,11,13,36
jamaica,NCAP_DOS_55_JA,15,10,27,78
jamaica,NCAP_DOS_55_JA,27,78,35,63
jamaica,NCAP_DOS_55_JA,35,27,33,32
jamaica,NCAP_DOS_55_JA,33,32,33,51
jamaica,NCAP_DOS_55_JA,33,51,33,66
jamaica,NCAP_DOS_55_JA,33,66,12,54
jamaica,NCAP_DOS_55_JA,12,54,12,1
jamaica,NCAP_DOS_55_JA,12,1,4,1
jamaica,NCAP_DOS_55_JA,4,1,4,37
jamaica,NCAP_DOS_55_JA,4,37,7,1
jamaica,NCAP_DOS_55_JA,7,1,11,1
jamaica,NCAP_DOS_55_JA,11,1,32,1
jamaica,NCAP_DOS_55_JA,35,64,28,34
jamaica,NCAP_DOS_55_JA,28,34,28,2
jamaica,NCAP_DOS_55_JA,28,2,6,109
jamaica,NCAP_DOS_55_JA,6,109,6,43
jamaica,NCAP_DOS_55_JA,6,43,7,46
jamaica,NCAP_DOS_55_JA,7,46,7,47
jamaica,NCAP_DOS_55_JA,7,46,28,37
jamaica,NCAP_DOS_55_JA,28,37,37,1
jamaica,NCAP_DOS_55_JA,37,1,31,32
jamaica,NCAP_DOS_55_JA,31,33,31,32
jamaica,NCAP_DOS_55_JA,31,33,37,25
jamaica,NCAP_DOS_55_JA,37,25,31,77
jamaica,NCAP_DOS_55_JA,31,77,32,165
jamaica,NCAP_DOS_55_JA,32,165,32,166
jamaica,NCAP_DOS_55_JA,32,166,16,158
jamaica,NCAP_DOS_55_JA,16,158,16,129
jamaica,NCAP_DOS_55_JA,16,129,16,122
jamaica,NCAP_DOS_55_JA,16,122,16,89
jamaica,NCAP_DOS_55_JA,16,89,16,88
jamaica,NCAP_DOS_55_JA,16,85,17,29
jamaica,NCAP_DOS_55_JA,17,29,16,1
jamaica,NCAP_DOS_55_JA,16,1,16,48
jamaica,NCAP_DOS_55_JA,34,20,32,199
jamaica,NCAP_DOS_55_JA,32,199,19,62
jamaica,NCAP_DOS_55_JA,19,62,19,61
jamaica,NCAP_DOS_55_JA,19,8,20,12
jamaica,NCAP_DOS_55_JA,20,12,30,9
jamaica,NCAP_DOS_55_JA,30,9,17,3
jamaica,NCAP_DOS_55_JA,17,3,16,27
jamaica,NCAP_DOS_55_JA,16,27,20,33
montserrat,NCAP_DOS_8_MO,1,22,1,25
montserrat,NCAP_DOS_8_MO,1,1,1,2
montserrat,NCAP_DOS_8_MO,1,2,3,1
montserrat,NCAP_DOS_8_MO,1,2,2,1
montserrat,NCAP_DOS_8_MO,3,9,3,10
montserrat,NCAP_DOS_8_MO,2,9,2,10
montserrat,NCAP_DOS_8_MO,1,15,3,9
montserrat,NCAP_DOS_8_MO,1,15,2,9
montserrat,NCAP_DOS_8_MO,3,5,3,6
montserrat,NCAP_DOS_8_MO,3,7,3,6
montserrat,NCAP_DOS_8_MO,1,3,3,2
montserrat,NCAP_DOS_8_MO,1,3,2,2
virginislands,NCAP_DOS_103_VI,2,137,2,114
virginislands,NCAP_DOS_103_VI,2,136,2,121
virginislands,NCAP_DOS_103_VI,2,79,2,80
