island,collection_id,img1id0,img1id1,img2id0,img2id1,,collection_id (original)
jamaica,NCAP_DOS_55_JA,15,1,29,3,,NCAP_DOS_55_JA
jamaica,NCAP_DOS_55_JA,29,13,11,28,,NCAP_DOS_55_JA
jamaica,NCAP_DOS_55_JA,31,77,32,165,,NCAP_DOS_55_JA
jamaica,NCAP_DOS_55_JA,32,165,32,166,,NCAP_DOS_55_JA
jamaica,NCAP_DOS_55_JA,32,166,16,158,,NCAP_DOS_55_JA
jamaica,NCAP_DOS_55_JA,34,20,32,199,,NCAP_DOS_55_JA
jamaica,NCAP_DOS_55_JA,32,199,19,62,,NCAP_DOS_55_JA
virginislands,NCAP_DOS_103_V1,2,137,2,114,NCAP_DOS_103_VI,NCAP_DOS_103_VI
virginislands,NCAP_DOS_103_V1,2,136,2,121,NCAP_DOS_103_VI,NCAP_DOS_103_VI
virginislands,NCAP_DOS_103_V1,2,79,2,80,NCAP_DOS_103_VI,NCAP_DOS_103_VI
virginislands,NCAP_DOS_103_V1,2,80,3,201,NCAP_DOS_103_VI,NCAP_DOS_103_VI
virginislands,NCAP_DOS_103_V1,2,55,2,56,NCAP_DOS_103_VI,NCAP_DOS_103_VI
virginislands,NCAP_DOS_103_V1,2,57,4,4,NCAP_DOS_103_VI,NCAP_DOS_103_VI
virginislands,NCAP_DOS_103_V1,2,73,1,54,NCAP_DOS_103_VI,NCAP_DOS_103_VI
virginislands,NCAP_DOS_103_V1,2,73,4,17,NCAP_DOS_103_VI,NCAP_DOS_103_VI
virginislands,NCAP_DOS_103_V1,2,62,4,11,NCAP_DOS_103_VI,NCAP_DOS_103_VI
virginislands,NCAP_DOS_103_V1,2,61,2,62,NCAP_DOS_103_VI,NCAP_DOS_103_VI
virginislands,NCAP_DOS_103_V1,2,62,2,63,NCAP_DOS_103_VI,NCAP_DOS_103_VI
virginislands,NCAP_DOS_103_V1,4,88,3,49,NCAP_DOS_103_VI,NCAP_DOS_103_VI
virginislands,NCAP_DOS_103_V1,5,13,3,22,NCAP_DOS_103_VI,NCAP_DOS_103_VI
virginislands,NCAP_DOS_103_V1,5,13,3,23,NCAP_DOS_103_VI,NCAP_DOS_103_VI
virginislands,NCAP_DOS_103_V1,4,57,2,40,NCAP_DOS_103_VI,NCAP_DOS_103_VI
virginislands,NCAP_DOS_103_V1,1,65,2,42,NCAP_DOS_103_VI,NCAP_DOS_103_VI
virginislands,NCAP_DOS_103_V1,3,163,3,51,NCAP_DOS_103_VI,NCAP_DOS_103_VI
virginislands,NCAP_DOS_103_V1,3,49,1,98,NCAP_DOS_103_VI,NCAP_DOS_103_VI
virginislands,NCAP_DOS_103_V1,3,49,2,152,NCAP_DOS_103_VI,NCAP_DOS_103_VI
virginislands,NCAP_DOS_103_V1,3,96,3,8,NCAP_DOS_103_VI,NCAP_DOS_103_VI
virginislands,NCAP_DOS_103_V1,3,96,4,178,NCAP_DOS_103_VI,NCAP_DOS_103_VI
virginislands,NCAP_DOS_103_V1,2,180,2,179,NCAP_DOS_103_VI,NCAP_DOS_103_VI
virginislands,NCAP_DOS_103_V1,2,179,2,178,NCAP_DOS_103_VI,NCAP_DOS_103_VI
virginislands,NCAP_DOS_103_V1,3,8,3,9,NCAP_DOS_103_VI,NCAP_DOS_103_VI
virginislands,NCAP_DOS_103_V1,3,117,2,12,NCAP_DOS_103_VI,NCAP_DOS_103_VI
virginislands,NCAP_DOS_103_V1,3,117,2,168,NCAP_DOS_103_VI,NCAP_DOS_103_VI
virginislands,NCAP_DOS_103_V1,2,168,4,192,NCAP_DOS_103_VI,NCAP_DOS_103_VI
virginislands,NCAP_DOS_103_V1,3,97,2,191,NCAP_DOS_103_VI,NCAP_DOS_103_VI
